Build No.,Project Code,Serial No.,Build Letter,Customer,Date,Gbox/Diff,Pass/Fail,Tested by,Mass
1529B-130-A,1529B,130,A,Lamborghini,21/09/2015,Gearbox,PASS,DJF,63.2
1007-032A-B,1007,032,B,Pagani,21/09/2015,Gearbox,PASS,PS,105.95
1202B-049R-A,1202B,049,A,Skoda ,21/09/2015,Diff,PASS,DJF,36.5
1007-027A-B,1007,027,B,Pagani,21/09/2015,Gearbox,PASS,PS,106
1202B-050R-A,1202B,050,A,Skoda ,21/09/2015,Diff,PASS,DJF,36.5
1202B-052R-A,1202B,052,A,Skoda ,21/09/2015,Diff,PASS,DJF,36.5
1529B-131-A,1529B,131,A,Lamborghini,21/09/2015,Gearbox,PASS,PS,62.6
1202B-051R-A,1202B,051,A,Skoda ,21/09/2015,Diff,PASS,DJF,36.45
1202B-049-A,1202B,049,A,Skoda,22/09/2015,Gearbox,PASS,PS,56.95
1202B-050-A,1202B,050,A,Skoda,22/09/2015,Gearbox,PASS,PS,56.95
600E-011-A,600E,011,A,Aston Martin,22/09/2015,Gearbox,PASS,DJF,65.65
1152-033-A,1152,033,A,INC,22/09/2015,Gearbox,PASS,PS,64.35
1159C-013-B,1159C,013,B,Oreca,22/09/2015,Gearbox,FAIL,PS,63.25
1007-106C-A,1007,106,A,Pagani,23/09/2015,Gearbox,PASS,DJF,108.3
600E-002-B..,600E,002,B,Aston Martin,23/09/2015,Gearbox,PASS,DJF,69.15
600E-002-B.,600E,002,B,Aston Martin,23/09/2015,Gearbox,PASS,DJF,69.15
1202B-051-A,1202B,051,A,Skoda,24/09/2015,Gearbox,PASS,DJF,58.95
1007-027A-C,1007,027,C,Pagani,25/09/2015,Gearbox,PASS,DJF,108.5
1202B-052-A,1202B,052,A,Skoda,25/09/2015,Gearbox,FAIL,PS,56.9
1007-032A-C,1007,032,C,Pagani,25/09/2015,Gearbox,PASS,DJF,108.5
600E-012-A,600E,012,A,Aston Martin,29/09/2015,Gearbox,PASS,DJF,86.75
1152-001-C,1152,001,C,Ginetta,29/09/2015,Gearbox,PASS,DJF,64.85
600E-013-A,600E,013,A,Aston Martin,29/09/2015,Gearbox,PASS,DJF,86.75
1152-037-A,1152,037,A,Ginetta,29/09/2015,Gearbox,PASS,DJF,65.7
1152-036-A,1152,036,A,Ginetta,29/09/2015,Gearbox,PASS,DJF,65.7
600E-014-A,600E,014,A,Aston Martin,29/09/2015,Gearbox,PASS,DJF,86.7
600-061-A,600,061,A,Prodrive,30/09/2015,Gearbox,PASS,PS,73.9
1152-038-A,1152,038,A,Ginetta,30/09/2015,Gearbox,PASS,DJF,65.1
600-062-A,600,062,A,Prodrive,30/09/2015,Gearbox,PASS,PS,73.85
633C-039-A,633C,039,A,Prodrive,30/09/2015,Gearbox,PASS,DJF,55.9
600-055-B,600,055,B,Prodrive,30/09/2015,Gearbox,PASS,PS,69.3
1192A-EP4-A,1192A,EP4,A,Pagani,30/09/2015,Gearbox,FAIL,PS,113.15
1209-005-A,1209,005,A,Michelotto,30/09/2015,Gearbox,PASS,DJF,66.35
1159C-014-A,1159C,014,A,Oreca,30/09/2015,Gearbox,PASS,PS,63.15
1152-039-B,1152,039,B,Oreca,01/10/2015,Gearbox,PASS,PS,65.25
1209-005-A,1209,005,A,Michelotto,01/10/2015,Gearbox,PASS,DJF,66.35
626-077-B,626,077,B,OAK,01/10/2015,Gearbox,PASS,PS,63.65
1046-107-B,1046,107,B,Toca Stock,05/10/2015,Gearbox,PASS,PS,36
522-052F-B,522,052,B,X-raid,06/10/2015,Diff - Front,PASS,PS,53.85
283-002-D,283,002,D,Solution F,06/10/2015,Gearbox,PASS,PS,74.2
1007-107C-A,1007,107,A,Pagani,06/10/2015,Gearbox,PASS,DJF,108.65
1202B-017-C,1202B,017,C,Skoda,06/10/2015,Gearbox,PASS,DJF,57.4
1202B-005-B,1202B,005,B,Skoda,06/10/2015,Gearbox,PASS,DJF,57.1
522-002F-N,522,002,N,X-raid,07/10/2015,Diff - Front,PASS,PS,53.55
522-051F-B,522,051,B,X-raid,07/10/2015,Diff - Front,PASS,PS,53.75
522-008F-F,522,008,F,X-raid,08/10/2015,Diff - Front,PASS,PS,53.85
522-052R-B,522,052,B,X-raid,08/10/2015,Diff - Rear,PASS,PS,54.1
1209-002-B,1209,002,B,Michelotto,09/10/2015,Gearbox,PASS,PS,66.7
522-031R-E,522,031,E,X-raid,12/10/2015,Diff - Rear,PASS,DJF,54.05
1529A-014-D,1529A,014,D,Mclaren Gt,12/10/2015,Gearbox,PASS,DJF,59.25
522-049R-C,522,049,C,X-raid,13/10/2015,Diff - Rear,PASS,DJF,54.05
1529A-047-B,1529A,047,B,Mclaren Gt,13/10/2015,Gearbox,PASS,DJF,57.7
1529A-088-B,1529A,088,B,Mclaren Gt,13/10/2015,Gearbox,PASS,DJF,57.7
1202B-054R-A,1202B,054,A,Skoda,14/10/2015,Diff,PASS,DJF,36.15
1202B-053R-A,1202B,053,A,Skoda,14/10/2015,Diff,PASS,DJF,36.15
1202B-055R-A,1202B,055,A,Skoda,14/10/2015,Diff,PASS,DJF,36.15
1529E-001-A.,1529E,001,A,Honda,14/10/2015,Gearbox,PASS,DJF,59.1
1529E-001-A,1529E,001,A,Honda,14/10/2015,Gearbox,PASS,DJF,59.1
1007-108C-A,1007,108,A,Pagani,15/10/2015,Gearbox,PASS,PS,108.6
1202B-053-A,1202B,053,A,Skoda,15/10/2015,Gearbox,PASS,DJF,57.5
1202B-053R-A,1202B,053,A,Skoda,15/10/2015,Diff,PASS,DJF,36.15
1202B-054R-A,1202B,054,A,Skoda,15/10/2015,Diff,PASS,DJF,36.15
1202B-055R-A,1202B,055,A,Skoda,15/10/2015,Diff,PASS,DJF,36.15
1202B-056R-A,1202B,056,A,Skoda,15/10/2015,Diff,PASS,DJF,36.2
600E-015-A,600E,015,A,Aston Martin,15/10/2015,Gearbox,PASS,PS,86.45
600E-016-A,600E,016,A,Aston Martin,15/10/2015,Gearbox,PASS,PS,86.4
1202B-056-A,1202B,056,A,Skoda,15/10/2015,Gearbox,PASS,DJF,57.45
1202B-055-A,1202B,055,A,Skoda,15/10/2015,Gearbox,FAIL,DJF,57.45
1202B-054-A,1202B,054,A,Skoda,15/10/2015,Gearbox,FAIL,DJF,57.4
1202B-057-A,1202B,057,A,Skoda,15/10/2015,Gearbox,PASS,DJF,57.45
600E-017-A,600E,017,A,Aston Martin,16/10/2015,Gearbox,PASS,PS,86.45
1529E-002-A,1529E,002,A,Honda,16/10/2015,Gearbox,PASS,DJF,57.7
1192A-EP5-A,1192A,EP5,A,Pagani,19/10/2015,Gearbox,FAIL,PS,112.9
1152-040-A,1152,040,A,Oreca,19/10/2015,Gearbox,PASS,PS,65.7
223E-063R-B,223E,063,B,BMW,19/10/2015,Diff,PASS,PS,37.85
223E-070R-B,223E,070,B,BMW,20/10/2015,Diff,PASS,PS,37.85
223E-071R-B,223E,071,B,BMW,20/10/2015,Diff,PASS,PS,37.85
223E-072R-B,223E,072,B,BMW,20/10/2015,Diff,PASS,PS,37.95
223E-075R-B,223E,075,B,BMW,20/10/2015,Diff,PASS,PS,38
223E-076R-C,223E,076,C,BMW,20/10/2015,Diff,PASS,PS,37.95
1159C-015-A,1159C,015,A,Oreca,20/10/2015,Gearbox,PASS,PS,63.2
1529B-132-A,1529B,132,A,Lamborghini,21/10/2015,Gearbox,PASS,PS,62.55
1529B-133-A,1529B,133,A,Lamborghini,21/10/2015,Gearbox,PASS,PS,62.75
1529B-133-B,1529B,133,B,Lamborghini,21/10/2015,Gearbox,PASS,PS,62.75
1529B-134-A,1529B,134,A,Lamborghini,21/10/2015,Gearbox,PASS,PS,62.45
1529A-035-B,1529A,035,B,Mclaren Gt,21/10/2015,Gearbox,PASS,PS,59.45
1529B-135-A,1529B,135,A,Lamborghini,21/10/2015,Gearbox,PASS,PS,62.65
1202B-060R-A,1202B,060,A,Skoda,21/10/2015,Diff,FAIL,PS,36.15
1202B-059R-A,1202B,059,A,Skoda,21/10/2015,Diff,FAIL,PS,36.1
1202B-058R-A,1202B,058,A,Skoda,21/10/2015,Diff,FAIL,PS,36.05
1202B-057R-A,1202B,057,A,Skoda,21/10/2015,Diff,FAIL,PS,36.1
1529B-136-A,1529B,136,A,Lamborghini,21/10/2015,Gearbox,FAIL,PS,62.55
1007-109C-A,1007,109,A,Pagani,22/10/2015,Gearbox,PASS,PS,108.65
1202B-064R-A,1202B,064,A,Skoda,27/10/2015,Diff,PASS,PS,36.15
1202B-063R-A,1202B,063,A,Skoda,27/10/2015,Diff,PASS,PS,36.15
1202B-062R-A,1202B,062,A,Skoda,27/10/2015,Diff,PASS,PS,36.2
1202B-059-A,1202B,059,A,Skoda,27/10/2015,Gearbox,PASS,PS,57.3
1202B-061R-A,1202B,061,A,Skoda,27/10/2015,Diff,FAIL,PS,36.1
545-070-B,545,070,B,BMW,27/10/2015,Gearbox,FAIL,PS,35.7
1202B-061-A,1202B,061,A,Skoda,27/10/2015,Gearbox,FAIL,PS,56.95
1529E-002-B,1529E,002,B,Honda,27/10/2015,Gearbox,FAIL,JAS,58.5
1202B-062-A,1202B,062,A,Skoda,27/10/2015,Gearbox,FAIL,PS,56.9
1202B-060-A,1202B,060,A,Skoda,27/10/2015,Gearbox,FAIL,PS,57.6
1529E-001-B,1529E,001,B,Honda,28/10/2015,Gearbox,PASS,JAS,57.9
600E-019-A,600E,019,A,Aston Martin,28/10/2015,Gearbox,PASS,PS,86.3
1529A-077-B,1529A,077,B,Mclaren Gt,28/10/2015,Gearbox,PASS,PS,57.95
1529A-021-B,1529A,021,B,Mclaren Gt,28/10/2015,Gearbox,PASS,PS,58.65
600E-018-A,600E,018,A,Aston Martin,28/10/2015,Gearbox,PASS,PS,86.4
1202B-064-A,1202B,064,A,Skoda,28/10/2015,Gearbox,PASS,PS,56.75
600E-020-A,600E,020,A,Aston Martin,28/10/2015,Gearbox,PASS,PS,86.3
1007-110C-A,1007,110,A,Pagani,29/10/2015,Gearbox,PASS,PS,108.5
522-029F-E,522,029,E,X-raid,30/10/2015,Diff - Front,PASS,PS,53.8
522-020R-F,522,020,F,X-raid,30/10/2015,Diff - Rear,PASS,PS,54.1
522-051R-B,522,051,B,X-raid,30/10/2015,Diff - Rear,PASS,PS,53.95
522-047R-B,522,047,B,X-raid,30/10/2015,Diff - Rear,PASS,PS,54.1
522-031F-D,522,031,D,X-raid,30/10/2015,Diff - Front,PASS,PS,53.95
1106C-022-A,1106C,022,A,VW,30/10/2015,Gearbox,PASS,PS,49.25
1159C-016-A,1159C,016,A,Oreca,30/10/2015,Gearbox,FAIL,PS,63.15
522-021F-E,522,021,E,X-raid,30/10/2015,Diff - Front,PASS,PS,53.75
1202B-058-D,1202B,058,D,Skoda,30/10/2015,Gearbox,FAIL,PS,57.6
1007-111C-A,1007,111,A,Pagani,02/11/2015,Gearbox,FAIL,DJF,108.3
1529B-025-B,1529B,025,B,Lamborghini,02/11/2015,Gearbox,PASS,PS,62.45
1206-013-A,1206,013,A,TMG,02/11/2015,Gearbox,PASS,PS,70.6
1192A-EP5-C,1192A,EP5,C,Pagani,03/11/2015,Gearbox,FAIL,PS,113.8
1007-012A-D,1007,012,D,Pagani,03/11/2015,Gearbox,PASS,PS,107.9
426-127-B,426,127,B,Lotus,04/11/2015,Gearbox,PASS,PS,44.05
1529B-139-A,1529B,139,A,Lamborghini,05/11/2015,Gearbox,PASS,PS,62.6
1529B-137-A,1529B,137,A,Lamborghini,05/11/2015,Gearbox,PASS,PS,62.75
1007-012C-D,1007,012,D,Pagani,05/11/2015,Gearbox,PASS,PS,107.75
1529B-138-A,1529B,138,A,Lamborghini,05/11/2015,Gearbox,FAIL,PS,62.65
522-048F-B,522,048,B,X-raid,06/11/2015,Diff - Front,PASS,DJF,53.75
522-028F-E,522,028,E,X-raid,06/11/2015,Diff - Front,PASS,DJF,53.75
522-021R-F,522,021,F,X-raid,06/11/2015,Diff - Rear,PASS,DJF,53.95
522-024R-F,522,024,F,X-raid,06/11/2015,Diff - Rear,PASS,DJF,54
522-046F-B,522,046,B,X-raid,09/11/2015,Diff - Front,PASS,PS,53.8
522-048R-B,522,048,B,X-raid,09/11/2015,Diff - Rear,PASS,PS,54
1202B-065R-A,1202B,065,A,Skoda,11/11/2015,Diff,PASS,DJF,36.2
1007-112C-A,1007,112,A,Pagani,11/11/2015,Gearbox,PASS,DJF,108.15
1529A-077-C,1529A,077,C,Mclaren Gt,11/11/2015,Gearbox,PASS,DJF,59.25
1202B-066R-A,1202B,066,A,Skoda,12/11/2015,Diff,PASS,DJF,36.2
1202B-065R-A,1202B,065,A,Skoda,12/11/2015,Diff,PASS,DJF,36.2
1007-113C-A,1007,113,A,Pagani,12/11/2015,Gearbox,FAIL,DJF,108.15
522-044R-C,522,044,C,X-raid,12/11/2015,Diff - Rear,PASS,DJF,53.9
522-050F-B,522,050,B,X-raid,12/11/2015,Diff - Front,PASS,DJF,53.85
1529A-089-B,1529A,089,B,Mclaren,13/11/2015,Gearbox,PASS,DJF,59.4
1106C-023-A,1106C,023,A,VW,13/11/2015,Gearbox,FAIL,DJF,51.6
1529A-127-B,1529A,127,B,Mclaren,13/11/2015,Gearbox,PASS,DJF,59.4
1202B-065-A,1202B,065,A,Skoda,13/11/2015,Gearbox,PASS,DJF,57.5
1202B-065-B,1202B,065,B,Skoda,16/11/2015,Gearbox,PASS,DJF,57.5
1202B-067-A,1202B,067,A,Skoda,16/11/2015,Gearbox,PASS,DJF,57.25
1202B-005-C,1202B,005,C,Skoda,16/11/2015,Gearbox,PASS,DJF,57.35
1202B-005-D,1202B,005,D,Skoda,16/11/2015,Gearbox,FAIL,DJF,57.35
1529B-142-A,1529B,142,A,Lamborghini,16/11/2015,Gearbox,PASS,DJF,62.6
1529B-141-A,1529B,141,A,Lamborghini,16/11/2015,Gearbox,PASS,DJF,62.74
1529B-140-A,1529B,140,A,Lamborghini,16/11/2015,Gearbox,FAIL,DJF,62.6
1529B-143-A,1529B,143,A,Lamborghini,16/11/2015,Gearbox,FAIL,DJF,62.6
1202B-066-A,1202B,066,A,Skoda,16/11/2015,Gearbox,FAIL,DJF,57.35
1202B-068-A,1202B,068,A,Skoda,16/11/2015,Gearbox,FAIL,DJF,57.35
1202B-077-A,1202B,077,A,Skoda,16/11/2015,Gearbox,PASS,DJF,57.15
1202B-078-A,1202B,078,A,Skoda,16/11/2015,Gearbox,PASS,DJF,57.2
1202B-079-A,1202B,079,A,Skoda,16/11/2015,Gearbox,PASS,DJF,57.2
1202B-080-A,1202B,080,A,Skoda,16/11/2015,Gearbox,PASS,DJF,57.1
1202B-080R-A,1202B,080,A,Skoda,16/11/2015,Diff,PASS,DJF,57.1
1529B-142-A,1529B,142,A,Lamborghini,17/11/2015,Gearbox,PASS,DJF,62.65
1529E-002-B,1529E,002,B,Honda ,17/11/2015,Gearbox,FAIL,DJF,57.9
1529E-002-A,1529E,002,A,Honda,18/11/2015,Gearbox,PASS,DJF,57.9
1529E-002-B,1529E,002,B,Honda,18/11/2015,Gearbox,FAIL,DJF,57.9
1202B-067R-A,1202B,067,A,Skoda,18/11/2015,Diff,PASS,DJF,36.15
522-014F-G,522,014,G,X-raid,18/11/2015,Diff - Front,FAIL,DJF,55.1
522-014R-F,522,014,F,X-raid,18/11/2015,Diff - Rear,PASS,DJF,54.9
1202B-068R-A,1202B,068,A,Skoda,18/11/2015,Diff,FAIL,DJF,36.2
1529A-118-B,1529A,118,B,Mclaren Gt,18/11/2015,Gearbox,PASS,DJF,58.85
1529A-126-B,1529A,126,B,Mclaren Gt,18/11/2015,Gearbox,PASS,DJF,58.65
1202B-063-F,1202B,063,F,Skoda,18/11/2015,Gearbox,FAIL,DJF,57.9
626-002-B,626,002,B,Oreca,19/11/2015,Gearbox,FAIL,DJF,72.45
1202B-069-A,1202B,069,A,Skoda,19/11/2015,Gearbox,PASS,DJF,57.2
1202B-070-A,1202B,070,A,Skoda,20/11/2015,Gearbox,PASS,DJF,57.2
1216-002-A,1216,002,A,Gould,20/11/2015,Gearbox,Pass,PS,44.6
1216-003-A,1216,003,A,Gould,20/11/2015,Gearbox,Pass,PS,44.85
1202B-071-A,1202B,071,A,Skoda,20/11/2015,Gearbox,PASS,DJF,57.2
1202B-072-A,1202B,072,A,Skoda,20/11/2015,Gearbox,PASS,DJF,57.3
1007-114C-A,1007,114,A,Pagani,20/11/2015,Gearbox,PASS,DJF,108.8
1206-014-A,1206,014,A,TMG,20/11/2015,Gearbox,PASS,PS,69.85
600E-021-A,600E,021,A,Aston Martin,23/11/2015,Gearbox,PASS,DJF,86.65
600E-022-A,600E,022,A,Aston Martin,23/11/2015,Gearbox,PASS,DJF,86.65
600E-023-A,600E,023,A,Aston Martin,23/11/2015,Gearbox,PASS,DJF,86.45
600E-024-A,600E,024,A,Aston Martin,24/11/2015,Gearbox,PASS,DJF,86.45
1202B-070R-A,1202B,070,A,Skoda,24/11/2015,Diff,PASS,DJF,36.15
1202B-071R-A,1202B,071,A,Skoda,24/11/2015,Diff,PASS,DJF,36.15
1529A-002-K,1529A,002,K,Mclaren Gt,24/11/2015,Gearbox,PASS,DJF,59.85
1202B-072R-A,1202B,072,A,Skoda,24/11/2015,Diff,PASS,DJF,36.15
1202B-069R-A,1202B,069,A,Skoda,24/11/2015,Diff,FAIL,DJF,36.1
600E-025-A,600E,025,A,Aston Martin,25/11/2015,Gearbox,PASS,DJF,86.45
600E-026-A,600E,026,A,Aston Martin,25/11/2015,Gearbox,PASS,PS,86.35
1192A-EP1-C,1192A,EP1,C,Pagani,25/11/2015,Gearbox,FAIL,PS,114.95
1007-115C-A,1007,115,A,Pagani,26/11/2015,Gearbox,PASS,PS,108.6
1202B-076-A,1202B,076,A,Skoda,26/11/2015,Gearbox,PASS,DJF,57.35
1202B-075-A,1202B,075,A,Skoda,26/11/2015,Gearbox,PASS,DJF,57.35
1202B-073-A,1202B,073,A,Skoda,26/11/2015,Gearbox,PASS,DJF,57.35
1202B-074-A,1202B,074,A,Skoda,26/11/2015,Gearbox,PASS,DJF,57.35
1202B-073R-A,1202B,073,A,Skoda,26/11/2015,Diff,PASS,PS,36.25
1202B-076R-A,1202B,076,A,Skoda,26/11/2015,Diff,PASS,PS,36.2
1202B-074R-A,1202B,074,A,Skoda,26/11/2015,Diff,FAIL,PS,36.2
1202B-075R-A,1202B,075,A,Skoda,26/11/2015,Diff,FAIL,PS,36.2
1106D-020R-A,1106D,020,A,Volkswagen,27/11/2015,Diff,PASS,DJF,21.7
1046-088-B,1046,088,B,LADA,27/11/2015,Gearbox,PASS,PS,31.05
1106D-022R-A,1106D,022,A,Volkswagen,27/11/2015,Diff,PASS,DJF,21.7
1106D-021R-A,1106D,021,A,Volkswagen,27/11/2015,Diff,PASS,DJF,21.75
1202B-072-A,1202B,072,A,Skoda,27/11/2015,Gearbox,PASS,DJF,57.35
1216-004-A,1216,004,A,Gould,30/11/2015,Gearbox,Pass,PS,44.7
1192A-EP4-C,1192A,EP4,C,Pagani,30/11/2015,Gearbox,FAIL,DJF,113.45
1216-005-A,1216,005,A,Gould,30/11/2015,Gearbox,Pass,PS,44.65
478C-053-A,478C,053,A,Frazer Nash,03/12/2015,Gearbox,Pass,PS,30.25
1046-040-D,1046,040,D,JAS,03/12/2015,Gearbox,PASS,DJF,36.1
1202B-077R-A,1202B,077,A,Skoda,04/12/2015,Diff,PASS,TO,36.2
1202B-078R-A,1202B,078,A,Skoda,04/12/2015,Diff,PASS,TO,36.2
1202B-079R-A,1202B,079,A,Skoda,04/12/2015,Diff,PASS,TO,36.2
1529A-145-A,1529A,145,A,Mclaren Gt,07/12/2015,Gearbox,PASS,DJF,59.2
1192A-EP5-D,1192A,EP5,D,Pagani,07/12/2015,Gearbox,PASS,DJF,114.75
1529A-146-A,1529A,146,A,Mclaren Gt,08/12/2015,Gearbox,PASS,DJF,59.2
1529A-147-A,1529A,147,A,Mclaren Gt,08/12/2015,Gearbox,PASS,DJF,59.2
1529A-144-A,1529A,144,A,Mclaren Gt,08/12/2015,Gearbox,PASS,DJF,59.2
1152-043-A,1152,043,A,Ginetta,08/12/2015,Gearbox,PASS,DJF,65.3
1152-044-A,1152,044,A,Ginetta,09/12/2015,Gearbox,PASS,DJF,65.2
1209-006-A,1209,006,A,Michelotto,09/12/2015,Gearbox,PASS,DJF,66.15
600-063-A,600,063,A,Prodrive,10/12/2015,Gearbox,PASS,DJF,69.3
1106C-024-A,1106C,024,A,VW,11/12/2015,Gearbox,PASS,PS,51
1152-046-A,1152,046,A,Oreca,11/12/2015,Gearbox,PASS,DJF,65.2
1152-045-A,1152,045,A,Oreca,11/12/2015,Gearbox,FAIL,DJF,65.2
1152-047-A,1152,047,A,Oreca,11/12/2015,Gearbox,PASS,DJF,65.2
1209-007-A,1209,007,A,Michelotto,12/12/2015,Gearbox,FAIL,DJF,66
1007-117C-A,1007,117,A,Pagani,14/12/2015,Gearbox,PASS,DJF,108.2
1209-008-A,1209,008,A,Michelotto,14/12/2015,Gearbox,PASS,PS,66.3
529V-078-A,529V,078,A,NOVA,15/12/2015,Gearbox,FAIL,PS,60
1192A-EP5-C,1192A,EP5,C,Pagani,15/12/2015,Gearbox,PASS,DJF,114.75
1192A-EP5-D,1192A,EP5,D,Pagani,15/12/2015,Gearbox,PASS,DJF,114.75
1192A-EP5-E,1192A,EP5,E,Pagani,15/12/2015,Gearbox,PASS,DJF,114.75
1159C-010-B,1159C,010,B,Signature,15/12/2015,Gearbox,FAIL,PS,63.25
1106D-023R-A,1106D,023,A,VW,16/12/2015,Diff,PASS,DJF,21.7
1106D-024R-A,1106D,024,A,VW,16/12/2015,Diff,PASS,DJF,21.7
1106D-025R-A,1106D,025,A,VW,16/12/2015,Diff,PASS,DJF,21.7
1106C-025-A,1106C,025,A,VW,16/12/2015,Gearbox,PASS,PS,51.1
1152-041-A,1152,041,A,Oreca,16/12/2015,Gearbox,PASS,DJF,65.4
1152-042-A,1152,042,A,Ginetta,16/12/2015,Gearbox,PASS,DJF,65.4
1209-010-A,1209,010,A,Michelotto,17/12/2015,Gearbox,PASS,PS,66.3
1209-009-A,1209,009,A,Michelotto,17/12/2015,Gearbox,FAIL,PS,66.4
1007-116C-A,1007,116,A,Pagani,17/12/2015,Gearbox,PASS,PS,108.5
1202B-081-A,1202B,081,A,Skoda,18/12/2015,Gearbox,PASS,PS,57.5
1202B-081R-A,1202B,081,A,Skoda,18/12/2015,Diff,PASS,DJF,36.1
1202B-082-A,1202B,082,A,Skoda,18/12/2015,Gearbox,PASS,PS,57.4
1202B-083-A,1202B,083,A,Skoda,18/12/2015,Gearbox,PASS,PS,57.4
529W-077-A,529W,077,A,Toyota,18/12/2015,Gearbox,FAIL,PS,60
1202B-083R-A,1202B,083,A,Skoda,18/12/2015,Diff,PASS,DJF,36.1
1202B-084R-A,1202B,084,A,Skoda,18/12/2015,Diff,PASS,DJF,36.1
1202B-084-A,1202B,084,A,Skoda,18/12/2015,Gearbox,PASS,PS,57.4
1202B-082R-A,1202B,082,A,Skoda,21/12/2015,Diff,FAIL,PS,36.1
1529A-035-C,1529A,035,C,Mclaren Gt,22/12/2015,Gearbox,PASS,PS,59.45
1152-040-B,1152,040,B,Oreca,22/12/2015,Gearbox,PASS,PS,65.3
1152-048-A,1152,048,A,Oreca,22/12/2015,Gearbox,PASS,PS,65.2
1152-049-A,1152,049,A,Oreca,22/12/2015,Gearbox,PASS,PS,65.35
529V-079-A,529V,079,A,NOVA,22/12/2015,Gearbox,PASS,PS,60
1152-050-A,1152,050,A,Oreca,23/12/2015,Gearbox,FAIL,PS,65.3
600-064-A,600,064,A,Prodrive,23/12/2015,Gearbox,PASS,PS,69.6
1159C-017-A,1159C,017,A,Oreca,23/12/2015,Gearbox,FAIL,PS,63.25
1007-118C-A,1007,118,A,Pagani,24/12/2015,Gearbox,PASS,PS,108.8
1007-022A-D,1007,022,D,Pagani,29/12/2015,Gearbox,PASS,PS,104.25
1007-062A-D,1007,062,D,Pagani,29/12/2015,Gearbox,PASS,PS,104.2
532-156R-A,532,156,A,Proton,05/01/2016,Diff,FAIL,DJF,35.65
1007-022C-A,1007,022,A,Pagani,06/01/2016,Gearbox,PASS,DJF,108.5
1007-022A-E,1007,022,E,Pagani,06/01/2016,Gearbox,PASS,DJF,108.5
1007-062A-E,1007,062,E,Pagani,07/01/2016,Gearbox,PASS,DJF,108.5
1159C-010-C,1159C,010,C,Signature,08/01/2016,Gearbox,PASS,DJF,63.25
532-164-A,532,164,A,Proton,08/01/2016,Gearbox,PASS,DJF,64.2
1529A-036-A,1529A,036,A,Mclaren Gt,11/01/2016,Gearbox,PASS,DJF,59.65
1202B-085R-A,1202B,085,A,Skoda,11/01/2016,Diff,PASS,DJF,36.15
1202B-086R-A,1202B,086,A,Skoda,11/01/2016,Diff,PASS,DJF,36.15
1202B-085-A,1202B,085,A,Skoda,12/01/2016,Gearbox,PASS,DJF,57.5
1202B-086-A,1202B,086,A,Skoda,12/01/2016,Gearbox,PASS,DJF,57.8
1202B-087-A,1202B,087,A,Skoda,13/01/2016,Gearbox,PASS,DJF,57.8
1529A-150-A,1529A,150,A,Mclaren Gt,13/01/2016,Gearbox,PASS,DJF,58.5
1529A-151-A,1529A,151,A,Mclaren Gt,14/01/2016,Gearbox,PASS,DJF,58.5
1529A-152-A,1529A,152,A,Mclaren Gt,14/01/2016,Gearbox,PASS,DJF,58.5
1209-012-A,1209,012,A,Michelotto,14/01/2016,Gearbox,PASS,PS,66.05
1209-011-A,1209,011,A,Michelotto,15/01/2016,Gearbox,PASS,PS,66.1
1230-001R-A,1230,001,A,TMG,15/01/2016,Diff,PASS,DJF,24
1230-002R-A,1230,002,A,TMG,15/01/2016,Diff,PASS,DJF,24
1529B-147-A,1529B,147,A,Lamborghini,15/01/2016,Gearbox,PASS,DJF,62.85
1202B-087R-A,1202B,087,A,Skoda,15/01/2016,Diff,PASS,PS,36.1
1529B-148-A,1529B,148,A,Lamborghini,15/01/2016,Gearbox,PASS,DJF,62.85
1529B-149-A,1529B,149,A,Lamborghini,15/01/2016,Gearbox,PASS,DJF,62.95
1046-107-C,1046,107,C,Team Parker,15/01/2016,Gearbox,PASS,PS,36.1
529U-075-B,529U,075,B,Emil Frey,18/01/2016,Gearbox,PASS,RC,56.8
1152-051-A,1152,051,A,Oreca,18/01/2016,Gearbox,PASS,DJF,65.15
1152-052-A,1152,052,A,Oreca,18/01/2016,Gearbox,PASS,DJF,65.15
1152-053-A,1152,053,A,Oreca,18/01/2016,Gearbox,PASS,DJF,65.35
626-074-B,626,074,B,OAK,19/01/2016,Gearbox,PASS,RC,63.3
1007-081C-B,1007,081,B,Pagani,19/01/2016,Gearbox,PASS,DJF,108.9
1007-067A-C,1007,067,C,Pagani,20/01/2016,Gearbox,PASS,DJF,108.95
1152-054-A,1152,054,A,Oreca,21/01/2016,Gearbox,FAIL,DJF,65.1
529U-076-B,529U,076,B,Emil Frey,21/01/2016,Gearbox,PASS,DJF,57.25
626-049-C,626,049,C,Greeves,22/01/2016,Gearbox,PASS,DJF,63.9
1007-068A-B,1007,068,B,Pagani,22/01/2016,Gearbox,PASS,PS,108.95
1209-013-A,1209,013,A,Michelotto,22/01/2016,Gearbox,PASS,DJF,66.8
1226-001-A,1226,001,A,Suzuki,22/01/2016,Gearbox,Pass,AMC,N/A
626-075-B,626,075,B,Greaves,22/01/2016,Gearbox,PASS,PS,63.35
1209-014-A,1209,014,A,Michelotto,22/01/2016,Gearbox,FAIL,DJF,66.8
1046-110-A,1046,110,A,Cyan Racing,25/01/2016,Gearbox,PASS,RC,36.1
1202B-088R-A,1202B,088,A,Skoda,25/01/2016,Diff,PASS,RC,36.2
